,Rented Bike Count,Hour,Temperature (C),Humidity (%),Wind speed (m/s),Visibility (10m),Dew point temperature (C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Holiday,Season__Autumn,Season__Spring,Season__Summer,Season__Winter,Weekday
2475,142,3,14.0,67.0,2.3,1733,7.9,0.0,0.0,0.0,0,0,1,0,0,1
2476,82,4,14.0,70.0,1.5,1648,8.6,0.0,0.0,0.0,0,0,1,0,0,1
2477,123,5,14.1,69.0,1.3,1923,8.4,0.0,0.0,0.0,0,0,1,0,0,1
2478,290,6,14.1,69.0,1.6,1882,8.4,0.0,0.0,0.0,0,0,1,0,0,1
2479,786,7,14.1,69.0,1.1,1692,8.4,0.0,0.0,0.0,0,0,1,0,0,1
2480,1371,8,14.2,67.0,0.9,1812,8.1,0.06,0.0,0.0,0,0,1,0,0,1
2481,761,9,14.6,62.0,1.2,1768,7.3,0.19,0.0,0.0,0,0,1,0,0,1
2482,552,10,15.7,58.0,1.3,1980,7.4,0.69,0.0,0.0,0,0,1,0,0,1
2483,643,11,17.5,55.0,2.1,1892,8.3,1.35,0.0,0.0,0,0,1,0,0,1
2484,813,12,19.9,44.0,2.7,1874,7.2,2.22,0.0,0.0,0,0,1,0,0,1
2487,1025,15,21.7,39.0,3.3,1979,7.1,2.09,0.0,0.0,0,0,1,0,0,1
2488,1049,16,21.7,41.0,3.2,2000,7.8,1.91,0.0,0.0,0,0,1,0,0,1
2489,1325,17,20.5,49.0,3.5,2000,9.4,1.18,0.0,0.0,0,0,1,0,0,1
2490,2100,18,19.2,53.0,2.4,2000,9.3,0.58,0.0,0.0,0,0,1,0,0,1
2491,1478,19,17.9,54.0,2.9,2000,8.4,0.04,0.0,0.0,0,0,1,0,0,1
2492,1275,20,17.2,60.0,2.5,1993,9.3,0.0,0.0,0.0,0,0,1,0,0,1
2493,1181,21,16.8,67.0,2.0,1775,10.6,0.0,0.0,0.0,0,0,1,0,0,1
2494,983,22,16.2,71.0,2.0,1780,10.9,0.0,0.0,0.0,0,0,1,0,0,1
2495,587,23,16.1,69.0,1.8,1666,10.4,0.0,0.0,0.0,0,0,1,0,0,1
2496,466,0,16.0,69.0,2.4,1863,10.3,0.0,0.0,0.0,0,0,1,0,0,1
2497,355,1,16.3,68.0,2.1,1859,10.3,0.0,0.0,0.0,0,0,1,0,0,1
2498,203,2,16.5,68.0,1.3,1724,10.5,0.0,0.0,0.0,0,0,1,0,0,1
2499,51,3,16.5,69.0,2.4,1659,10.7,0.0,0.0,0.0,0,0,1,0,0,1
2500,9,4,15.1,86.0,2.1,877,12.7,0.0,0.0,0.0,0,0,1,0,0,1
2501,8,5,14.5,94.0,2.0,487,13.5,0.0,0.0,0.0,0,0,1,0,0,1
2503,15,7,14.3,97.0,0.3,189,13.8,0.0,0.0,0.0,0,0,1,0,0,1
2504,39,8,14.1,97.0,1.1,342,13.6,0.0,0.0,0.0,0,0,1,0,0,1
2506,27,10,14.2,98.0,1.2,299,13.8,0.14,0.0,0.0,0,0,1,0,0,1
2507,65,11,13.9,98.0,1.4,296,13.5,0.13,0.0,0.0,0,0,1,0,0,1
2509,269,13,12.7,97.0,2.6,467,12.2,0.23,0.0,0.0,0,0,1,0,0,1
2510,289,14,12.1,97.0,2.0,177,11.6,0.2,0.0,0.0,0,0,1,0,0,1
2511,329,15,11.6,97.0,3.4,117,11.1,0.26,0.0,0.0,0,0,1,0,0,1
2512,214,16,10.7,98.0,1.2,196,10.3,0.14,0.0,0.0,0,0,1,0,0,1
2513,411,17,10.9,98.0,1.3,222,10.5,0.09,0.0,0.0,0,0,1,0,0,1
2514,676,18,10.4,98.0,2.5,116,10.0,0.03,0.0,0.0,0,0,1,0,0,1
2515,606,19,10.4,98.0,2.0,391,10.0,0.0,0.0,0.0,0,0,1,0,0,1
2516,533,20,10.5,97.0,1.8,372,10.0,0.0,0.0,0.0,0,0,1,0,0,1
2517,567,21,10.4,96.0,2.7,499,9.7,0.0,0.0,0.0,0,0,1,0,0,1
2518,506,22,9.8,90.0,3.7,493,8.2,0.0,0.0,0.0,0,0,1,0,0,1
2519,343,23,9.3,90.0,4.1,609,7.7,0.0,0.0,0.0,0,0,1,0,0,1
2520,287,0,8.4,86.0,2.2,2000,6.1,0.0,0.0,0.0,0,0,1,0,0,1
2521,278,1,7.2,83.0,2.1,2000,4.4,0.0,0.0,0.0,0,0,1,0,0,1
2522,178,2,6.7,72.0,2.1,2000,1.9,0.0,0.0,0.0,0,0,1,0,0,1
2523,102,3,6.1,67.0,2.6,2000,0.4,0.0,0.0,0.0,0,0,1,0,0,1
2524,85,4,5.7,62.0,2.4,2000,-1.0,0.0,0.0,0.0,0,0,1,0,0,1
2525,85,5,5.2,60.0,2.0,2000,-1.9,0.0,0.0,0.0,0,0,1,0,0,1
2526,222,6,4.4,61.0,1.7,2000,-2.4,0.0,0.0,0.0,0,0,1,0,0,1
2527,652,7,3.7,59.0,2.9,2000,-3.5,0.0,0.0,0.0,0,0,1,0,0,1
2528,1176,8,3.8,56.0,2.4,2000,-4.1,0.32,0.0,0.0,0,0,1,0,0,1
2529,683,9,5.2,51.0,1.7,2000,-4.1,1.08,0.0,0.0,0,0,1,0,0,1
2530,507,10,6.7,46.0,2.2,1936,-4.1,1.79,0.0,0.0,0,0,1,0,0,1
2536,976,16,11.6,31.0,1.4,1999,-4.9,2.11,0.0,0.0,0,0,1,0,0,1
2537,1160,17,11.2,30.0,1.5,2000,-5.7,1.44,0.0,0.0,0,0,1,0,0,1
2538,1641,18,10.0,33.0,1.2,2000,-5.5,0.68,0.0,0.0,0,0,1,0,0,1
2539,974,19,8.1,36.0,1.2,2000,-6.1,0.06,0.0,0.0,0,0,1,0,0,1
2540,774,20,6.7,41.0,1.0,2000,-5.6,0.0,0.0,0.0,0,0,1,0,0,1
2541,710,21,5.8,43.0,1.8,2000,-5.8,0.0,0.0,0.0,0,0,1,0,0,1
2542,660,22,4.9,46.0,0.8,2000,-5.7,0.0,0.0,0.0,0,0,1,0,0,1
2543,455,23,4.2,47.0,1.3,2000,-6.1,0.0,0.0,0.0,0,0,1,0,0,1
2544,414,0,3.7,48.0,1.6,2000,-6.3,0.0,0.0,0.0,0,0,1,0,0,0
2545,366,1,3.0,52.0,0.7,2000,-5.9,0.0,0.0,0.0,0,0,1,0,0,0
2546,268,2,2.3,56.0,0.6,2000,-5.5,0.0,0.0,0.0,0,0,1,0,0,0
2547,157,3,1.8,59.0,0.7,2000,-5.3,0.0,0.0,0.0,0,0,1,0,0,0
2548,103,4,1.3,61.0,0.7,2000,-5.4,0.0,0.0,0.0,0,0,1,0,0,0
2549,60,5,1.0,62.0,0.9,2000,-5.4,0.0,0.0,0.0,0,0,1,0,0,0
2550,109,6,0.8,63.0,1.0,2000,-5.4,0.0,0.0,0.0,0,0,1,0,0,0
2551,193,7,0.5,64.0,0.8,2000,-5.5,0.01,0.0,0.0,0,0,1,0,0,0
2552,384,8,1.3,57.0,1.0,1974,-6.2,0.32,0.0,0.0,0,0,1,0,0,0
2553,520,9,3.4,49.0,1.6,1950,-6.3,1.03,0.0,0.0,0,0,1,0,0,0
2554,561,10,6.0,43.0,1.0,1829,-5.6,1.69,0.0,0.0,0,0,1,0,0,0
2557,1111,13,10.9,32.0,1.2,1772,-5.1,2.22,0.0,0.0,0,0,1,0,0,0
2560,1440,16,13.7,28.0,2.1,1499,-4.5,1.88,0.0,0.0,0,0,1,0,0,0
2561,1272,17,12.1,34.0,2.5,1240,-3.3,0.81,0.0,0.0,0,0,1,0,0,0
2562,934,18,10.6,42.0,2.8,1307,-1.8,0.31,0.0,0.0,0,0,1,0,0,0
2563,718,19,8.8,49.0,3.2,1207,-1.3,0.05,0.0,0.0,0,0,1,0,0,0
2564,688,20,7.9,54.0,2.3,1005,-0.8,0.0,0.0,0.0,0,0,1,0,0,0
2565,624,21,7.4,54.0,2.0,1142,-1.3,0.0,0.0,0.0,0,0,1,0,0,0
2566,562,22,7.0,55.0,2.7,1041,-1.4,0.0,0.0,0.0,0,0,1,0,0,0
2567,422,23,6.4,59.0,1.1,961,-1.0,0.0,0.0,0.0,0,0,1,0,0,0
2568,407,0,5.9,56.0,1.1,1019,-2.2,0.0,0.0,0.0,0,0,1,0,0,0
2569,309,1,5.7,55.0,1.4,1043,-2.6,0.0,0.0,0.0,0,0,1,0,0,0
2570,226,2,5.5,56.0,1.2,1067,-2.5,0.0,0.0,0.0,0,0,1,0,0,0
2571,174,3,5.5,57.0,1.1,1079,-2.3,0.0,0.0,0.0,0,0,1,0,0,0
2572,106,4,5.6,55.0,0.4,1115,-2.7,0.0,0.0,0.0,0,0,1,0,0,0
2573,67,5,5.6,55.0,1.2,1008,-2.7,0.0,0.0,0.0,0,0,1,0,0,0
2574,73,6,5.7,54.0,1.7,1208,-2.9,0.0,0.0,0.0,0,0,1,0,0,0
2575,152,7,5.5,58.0,1.0,937,-2.1,0.0,0.0,0.0,0,0,1,0,0,0
2576,293,8,5.9,58.0,1.8,861,-1.7,0.11,0.0,0.0,0,0,1,0,0,0
2577,398,9,6.3,53.0,0.5,849,-2.5,0.34,0.0,0.0,0,0,1,0,0,0
2578,460,10,7.2,53.0,1.6,709,-1.7,0.45,0.0,0.0,0,0,1,0,0,0
2579,587,11,8.5,49.0,0.7,718,-1.6,0.76,0.0,0.0,0,0,1,0,0,0
2580,751,12,9.8,46.0,1.2,710,-1.2,1.13,0.0,0.0,0,0,1,0,0,0
2581,881,13,10.6,43.0,1.3,705,-1.4,1.07,0.0,0.0,0,0,1,0,0,0
2582,993,14,11.0,41.0,1.1,763,-1.7,0.81,0.0,0.0,0,0,1,0,0,0
2583,1128,15,12.0,37.0,0.8,879,-2.2,1.09,0.0,0.0,0,0,1,0,0,0
2584,1059,16,12.3,30.0,1.6,1263,-4.8,0.94,0.0,0.0,0,0,1,0,0,0
2585,603,17,11.1,42.0,2.2,765,-1.3,0.34,0.0,0.0,0,0,1,0,0,0
2586,365,18,10.4,47.0,0.4,824,-0.4,0.14,0.0,0.0,0,0,1,0,0,0
2587,237,19,10.0,53.0,1.7,796,0.8,0.01,0.0,0.0,0,0,1,0,0,0
2588,146,20,9.2,66.0,1.1,513,3.1,0.0,0.0,0.0,0,0,1,0,0,0
2589,71,21,8.8,72.0,0.9,501,4.0,0.0,0.0,0.0,0,0,1,0,0,0
2590,70,22,8.1,76.0,0.8,492,4.1,0.0,0.0,0.0,0,0,1,0,0,0
2591,53,23,7.4,80.0,1.3,471,4.1,0.0,0.0,0.0,0,0,1,0,0,0
2593,38,1,6.7,84.0,0.8,320,4.1,0.0,0.0,0.0,0,0,1,0,0,1
2594,28,2,6.6,86.0,0.6,416,4.4,0.0,0.0,0.0,0,0,1,0,0,1
2596,9,4,6.3,90.0,1.0,240,4.7,0.0,0.0,0.0,0,0,1,0,0,1
2597,27,5,6.2,89.0,1.5,338,4.5,0.0,0.0,0.0,0,0,1,0,0,1
2599,370,7,6.5,88.0,1.4,515,4.6,0.0,0.0,0.0,0,0,1,0,0,1
2600,592,8,7.3,84.0,2.2,813,4.7,0.05,0.0,0.0,0,0,1,0,0,1
2602,292,10,9.1,77.0,2.7,1587,5.2,0.27,0.0,0.0,0,0,1,0,0,1
2603,393,11,10.2,65.0,3.3,2000,3.9,0.57,0.0,0.0,0,0,1,0,0,1
2604,403,12,10.2,58.0,3.5,2000,2.2,0.32,0.0,0.0,0,0,1,0,0,1
2605,387,13,10.1,61.0,3.7,1504,2.9,0.38,0.0,0.0,0,0,1,0,0,1
2606,326,14,10.1,59.0,3.3,2000,2.4,0.57,0.0,0.0,0,0,1,0,0,1
2607,263,15,9.8,57.0,3.0,2000,1.6,0.43,0.0,0.0,0,0,1,0,0,1
2608,271,16,8.9,63.0,3.0,1614,2.2,0.28,0.0,0.0,0,0,1,0,0,1
2609,605,17,8.5,59.0,2.7,1927,0.9,0.16,0.0,0.0,0,0,1,0,0,1
2610,1200,18,8.6,55.0,2.4,1958,0.0,0.09,0.0,0.0,0,0,1,0,0,1
2611,818,19,8.4,51.0,3.3,1977,-1.1,0.01,0.0,0.0,0,0,1,0,0,1
2612,711,20,8.3,47.0,3.1,2000,-2.3,0.0,0.0,0.0,0,0,1,0,0,1
2613,731,21,8.0,47.0,3.3,2000,-2.6,0.0,0.0,0.0,0,0,1,0,0,1
2614,565,22,7.6,48.0,3.1,2000,-2.7,0.0,0.0,0.0,0,0,1,0,0,1
2615,382,23,6.9,44.0,3.3,2000,-4.5,0.0,0.0,0.0,0,0,1,0,0,1
2616,297,0,6.3,42.0,3.3,2000,-5.6,0.0,0.0,0.0,0,0,1,0,0,1
2617,243,1,5.5,42.0,3.1,2000,-6.4,0.0,0.0,0.0,0,0,1,0,0,1
2618,165,2,5.1,44.0,3.4,2000,-6.1,0.0,0.0,0.0,0,0,1,0,0,1
2619,95,3,4.7,44.0,3.8,2000,-6.5,0.0,0.0,0.0,0,0,1,0,0,1
2620,69,4,4.4,44.0,3.1,2000,-6.8,0.0,0.0,0.0,0,0,1,0,0,1
2621,92,5,4.1,42.0,3.1,2000,-7.6,0.0,0.0,0.0,0,0,1,0,0,1
2622,235,6,3.9,43.0,3.4,2000,-7.5,0.0,0.0,0.0,0,0,1,0,0,1
2623,677,7,3.8,44.0,4.1,2000,-7.3,0.02,0.0,0.0,0,0,1,0,0,1
2624,1212,8,4.3,43.0,4.2,2000,-7.2,0.37,0.0,0.0,0,0,1,0,0,1
2625,661,9,5.7,38.0,3.9,1985,-7.5,0.98,0.0,0.0,0,0,1,0,0,1
2626,418,10,7.4,35.0,3.5,1990,-7.0,1.81,0.0,0.0,0,0,1,0,0,1
2629,516,13,8.0,37.0,3.4,2000,-5.8,1.96,0.0,0.0,0,0,1,0,0,1
2630,478,14,7.3,38.0,3.4,1997,-6.1,1.6,0.0,0.0,0,0,1,0,0,1
2631,492,15,6.5,39.0,3.3,2000,-6.4,1.21,0.0,0.0,0,0,1,0,0,1
2632,518,16,5.6,42.0,4.2,2000,-6.3,0.81,0.0,0.0,0,0,1,0,0,1
2633,719,17,4.9,43.0,4.3,2000,-6.6,0.42,0.0,0.0,0,0,1,0,0,1
2634,1111,18,4.1,43.0,3.5,2000,-7.3,0.21,0.0,0.0,0,0,1,0,0,1
2635,716,19,3.2,45.0,3.7,2000,-7.6,0.02,0.0,0.0,0,0,1,0,0,1
2636,543,20,2.7,45.0,3.3,2000,-8.0,0.0,0.0,0.0,0,0,1,0,0,1
2637,494,21,2.3,40.0,3.3,2000,-9.9,0.0,0.0,0.0,0,0,1,0,0,1
2638,460,22,2.0,37.0,2.7,2000,-11.1,0.0,0.0,0.0,0,0,1,0,0,1
2639,294,23,1.8,37.0,2.3,2000,-11.3,0.0,0.0,0.0,0,0,1,0,0,1
2640,240,0,1.6,39.0,2.3,2000,-10.8,0.0,0.0,0.0,0,0,1,0,0,1
2641,223,1,1.5,40.0,2.8,2000,-10.6,0.0,0.0,0.0,0,0,1,0,0,1
2642,147,2,1.4,40.0,2.9,2000,-10.7,0.0,0.0,0.0,0,0,1,0,0,1
2643,82,3,1.3,40.0,2.1,2000,-10.8,0.0,0.0,0.0,0,0,1,0,0,1
2644,70,4,1.3,39.0,2.3,2000,-11.1,0.0,0.0,0.0,0,0,1,0,0,1
2645,80,5,1.3,40.0,2.3,2000,-10.8,0.0,0.0,0.0,0,0,1,0,0,1
2646,209,6,1.4,42.0,1.7,2000,-10.1,0.0,0.0,0.0,0,0,1,0,0,1
2647,605,7,1.4,43.0,1.5,2000,-9.8,0.0,0.0,0.0,0,0,1,0,0,1
2648,1097,8,1.6,42.0,1.8,2000,-9.9,0.13,0.0,0.0,0,0,1,0,0,1
2649,614,9,2.5,40.0,1.9,2000,-9.7,0.41,0.0,0.0,0,0,1,0,0,1
2650,374,10,3.6,37.0,1.3,2000,-9.7,0.83,0.0,0.0,0,0,1,0,0,1
2651,339,11,4.8,35.0,2.1,2000,-9.4,1.38,0.0,0.0,0,0,1,0,0,1
2652,333,12,4.8,51.0,2.2,1715,-4.5,1.12,0.0,0.0,0,0,1,0,0,1
2653,196,13,4.0,64.0,2.0,1834,-2.2,0.75,0.0,0.0,0,0,1,0,0,1
2654,117,14,1.9,89.0,1.5,102,0.2,0.41,0.0,0.0,0,0,1,0,0,1
2656,241,16,2.4,79.0,1.9,1995,-0.8,0.37,0.0,0.0,0,0,1,0,0,1
2657,319,17,2.5,78.0,2.0,2000,-0.9,0.25,0.0,0.0,0,0,1,0,0,1
2658,615,18,2.0,77.0,1.3,2000,-1.6,0.07,0.0,0.0,0,0,1,0,0,1
2659,402,19,2.0,81.0,0.7,2000,-0.9,0.0,0.0,0.0,0,0,1,0,0,1
2660,120,20,1.7,85.0,1.3,396,-0.5,0.0,0.0,0.0,0,0,1,0,0,1
2662,320,22,1.2,87.0,0.9,1802,-0.7,0.0,0.0,0.0,0,0,1,0,0,1
2663,226,23,1.5,86.0,1.2,1495,-0.5,0.0,0.0,0.0,0,0,1,0,0,1
2664,243,0,1.6,86.0,1.7,1141,-0.4,0.0,0.0,0.0,0,0,1,0,0,1
2665,247,1,1.6,85.0,2.0,952,-0.6,0.0,0.0,0.0,0,0,1,0,0,1
2666,173,2,1.5,86.0,2.5,782,-0.5,0.0,0.0,0.0,0,0,1,0,0,1
2667,107,3,1.3,87.0,1.7,822,-0.6,0.0,0.0,0.0,0,0,1,0,0,1
2668,75,4,1.3,87.0,2.2,937,-0.6,0.0,0.0,0.0,0,0,1,0,0,1
2669,81,5,1.1,88.0,0.9,927,-0.6,0.0,0.0,0.0,0,0,1,0,0,1
2670,212,6,0.8,88.0,1.0,900,-0.9,0.0,0.0,0.0,0,0,1,0,0,1
2671,600,7,0.6,85.0,1.5,1321,-1.6,0.01,0.0,0.0,0,0,1,0,0,1
2672,1174,8,1.1,79.0,1.7,1480,-2.1,0.36,0.0,0.0,0,0,1,0,0,1
2673,653,9,2.5,67.0,1.3,1472,-3.0,1.11,0.0,0.0,0,0,1,0,0,1
2674,446,10,4.9,56.0,1.9,1480,-3.1,1.76,0.0,0.0,0,0,1,0,0,1
2680,752,16,10.3,34.0,3.8,1850,-4.9,1.93,0.0,0.0,0,0,1,0,0,1
2681,999,17,9.6,38.0,3.2,1606,-4.0,1.35,0.0,0.0,0,0,1,0,0,1
2682,1495,18,7.9,46.0,3.1,1057,-3.0,0.58,0.0,0.0,0,0,1,0,0,1
2683,923,19,6.2,54.0,1.8,883,-2.4,0.08,0.0,0.0,0,0,1,0,0,1
2684,739,20,5.1,56.0,2.0,899,-2.9,0.0,0.0,0.0,0,0,1,0,0,1
2685,726,21,4.5,62.0,2.0,826,-2.1,0.0,0.0,0.0,0,0,1,0,0,1
2686,621,22,3.9,66.0,2.7,990,-1.8,0.0,0.0,0.0,0,0,1,0,0,1
2687,428,23,3.4,69.0,1.1,895,-1.7,0.0,0.0,0.0,0,0,1,0,0,1
2688,335,0,2.9,72.0,1.3,903,-1.6,0.0,0.0,0.0,0,0,1,0,0,1
2689,283,1,2.5,75.0,1.5,786,-1.4,0.0,0.0,0.0,0,0,1,0,0,1
2690,216,2,2.2,80.0,1.4,615,-0.8,0.0,0.0,0.0,0,0,1,0,0,1
2691,128,3,1.9,81.0,1.1,525,-1.0,0.0,0.0,0.0,0,0,1,0,0,1
2692,92,4,2.0,80.0,0.8,474,-1.0,0.0,0.0,0.0,0,0,1,0,0,1
2693,95,5,2.2,79.0,0.8,553,-1.0,0.0,0.0,0.0,0,0,1,0,0,1
2694,243,6,2.3,80.0,0.7,546,-0.8,0.0,0.0,0.0,0,0,1,0,0,1
2695,661,7,2.5,79.0,1.4,536,-0.7,0.01,0.0,0.0,0,0,1,0,0,1
2696,1216,8,2.6,77.0,1.3,567,-1.0,0.21,0.0,0.0,0,0,1,0,0,1
2697,664,9,3.3,72.0,1.4,618,-1.2,0.61,0.0,0.0,0,0,1,0,0,1
2698,461,10,5.4,64.0,1.6,637,-0.8,1.7,0.0,0.0,0,0,1,0,0,1
2699,584,11,7.1,50.0,1.7,799,-2.6,2.24,0.0,0.0,0,0,1,0,0,1
2704,901,16,12.2,24.0,2.8,1655,-7.8,1.98,0.0,0.0,0,0,1,0,0,1
2705,1108,17,11.2,27.0,3.5,1585,-7.1,1.19,0.0,0.0,0,0,1,0,0,1
2706,1611,18,9.7,36.0,3.6,948,-4.6,0.37,0.0,0.0,0,0,1,0,0,1
2707,932,19,8.3,48.0,3.0,779,-2.0,0.06,0.0,0.0,0,0,1,0,0,1
2708,724,20,6.7,48.0,2.6,774,-3.5,0.0,0.0,0.0,0,0,1,0,0,1
2709,676,21,5.8,60.0,2.2,650,-1.3,0.0,0.0,0.0,0,0,1,0,0,1
2710,638,22,5.3,63.0,1.8,591,-1.1,0.0,0.0,0.0,0,0,1,0,0,1
2711,422,23,5.0,42.0,1.7,717,-6.8,0.0,0.0,0.0,0,0,1,0,0,1
2712,403,0,4.7,46.0,1.7,746,-5.9,0.0,0.0,0.0,0,0,1,0,0,0
2713,360,1,4.7,51.0,1.1,728,-4.5,0.0,0.0,0.0,0,0,1,0,0,0
2714,305,2,5.0,50.0,1.7,669,-4.5,0.0,0.0,0.0,0,0,1,0,0,0
2715,197,3,5.0,51.0,0.8,659,-4.3,0.0,0.0,0.0,0,0,1,0,0,0
2716,122,4,5.1,54.0,1.2,550,-3.4,0.0,0.0,0.0,0,0,1,0,0,0
2717,82,5,4.7,54.0,1.3,543,-3.8,0.0,0.0,0.0,0,0,1,0,0,0
2718,113,6,4.2,50.0,0.6,633,-5.3,0.0,0.0,0.0,0,0,1,0,0,0
2719,198,7,4.0,54.0,0.9,587,-4.4,0.01,0.0,0.0,0,0,1,0,0,0
2720,424,8,4.5,49.0,0.4,580,-5.3,0.19,0.0,0.0,0,0,1,0,0,0
2721,456,9,6.5,40.0,2.5,588,-6.1,0.69,0.0,0.0,0,0,1,0,0,0
2722,494,10,7.2,43.0,1.5,559,-4.5,0.42,0.0,0.0,0,0,1,0,0,0
2723,589,11,9.0,56.0,2.0,399,0.6,1.11,0.0,0.0,0,0,1,0,0,0
2728,947,16,12.3,61.0,3.4,359,4.9,1.82,0.0,0.0,0,0,1,0,0,0
2729,916,17,11.1,66.0,4.2,367,4.9,1.18,0.0,0.0,0,0,1,0,0,0
2730,736,18,9.0,76.0,3.0,288,4.9,0.45,0.0,0.0,0,0,1,0,0,0
2731,521,19,7.7,80.0,2.8,234,4.4,0.05,0.0,0.0,0,0,1,0,0,0
2732,513,20,7.1,83.0,3.3,203,4.4,0.0,0.0,0.0,0,0,1,0,0,0
2733,487,21,6.7,84.0,2.8,193,4.1,0.0,0.0,0.0,0,0,1,0,0,0
2734,460,22,6.5,85.0,2.3,167,4.1,0.0,0.0,0.0,0,0,1,0,0,0
2735,354,23,6.4,85.0,2.3,155,4.0,0.0,0.0,0.0,0,0,1,0,0,0
2736,372,0,6.4,84.0,1.4,171,3.8,0.0,0.0,0.0,0,0,1,0,0,0
2737,267,1,6.4,82.0,1.2,186,3.5,0.0,0.0,0.0,0,0,1,0,0,0
2738,195,2,6.0,82.0,1.3,198,3.1,0.0,0.0,0.0,0,0,1,0,0,0
2739,139,3,5.5,83.0,0.9,186,2.8,0.0,0.0,0.0,0,0,1,0,0,0
2740,90,4,5.3,82.0,1.0,200,2.4,0.0,0.0,0.0,0,0,1,0,0,0
2741,60,5,5.0,83.0,0.7,200,2.3,0.0,0.0,0.0,0,0,1,0,0,0
2742,71,6,4.6,84.0,0.7,193,2.1,0.0,0.0,0.0,0,0,1,0,0,0
2743,137,7,4.7,82.0,1.3,198,1.8,0.02,0.0,0.0,0,0,1,0,0,0
2744,225,8,5.0,79.0,1.1,203,1.6,0.23,0.0,0.0,0,0,1,0,0,0
2745,331,9,6.3,73.0,1.3,218,1.8,0.79,0.0,0.0,0,0,1,0,0,0
2746,359,10,8.4,65.0,1.8,229,2.1,1.67,0.0,0.0,0,0,1,0,0,0
2752,1031,16,16.5,39.0,3.1,366,2.4,1.91,0.0,0.0,0,0,1,0,0,0
2753,911,17,15.8,40.0,2.3,481,2.2,1.28,0.0,0.0,0,0,1,0,0,0
2754,768,18,14.4,44.0,2.7,596,2.2,0.6,0.0,0.0,0,0,1,0,0,0
2755,571,19,12.6,59.0,2.5,384,4.7,0.08,0.0,0.0,0,0,1,0,0,0
2756,502,20,10.7,70.0,2.8,236,5.4,0.0,0.0,0.0,0,0,1,0,0,0
2757,456,21,9.8,74.0,2.2,219,5.3,0.0,0.0,0.0,0,0,1,0,0,0
2758,424,22,8.8,79.0,2.0,203,5.3,0.0,0.0,0.0,0,0,1,0,0,0
2759,336,23,8.0,82.0,1.3,196,5.1,0.0,0.0,0.0,0,0,1,0,0,0
2760,244,0,7.1,84.0,2.3,185,4.5,0.0,0.0,0.0,0,0,1,0,0,1
2761,185,1,6.3,87.0,1.8,153,4.2,0.0,0.0,0.0,0,0,1,0,0,1
2762,93,2,5.4,95.0,1.5,89,4.6,0.0,0.0,0.0,0,0,1,0,0,1
2763,62,3,5.5,96.0,1.6,72,4.9,0.0,0.0,0.0,0,0,1,0,0,1
2764,65,4,5.5,96.0,2.0,53,4.9,0.0,0.0,0.0,0,0,1,0,0,1
2765,98,5,5.4,97.0,1.5,38,4.9,0.0,0.0,0.0,0,0,1,0,0,1
2766,227,6,5.7,97.0,0.5,80,5.2,0.0,0.0,0.0,0,0,1,0,0,1
2767,581,7,6.0,96.0,0.6,94,5.4,0.0,0.0,0.0,0,0,1,0,0,1
2768,983,8,6.4,90.0,1.4,117,4.8,0.13,0.0,0.0,0,0,1,0,0,1
2769,540,9,7.6,82.0,0.7,147,4.7,0.55,0.0,0.0,0,0,1,0,0,1
2770,415,10,10.0,70.0,1.0,187,4.7,1.57,0.0,0.0,0,0,1,0,0,1
2771,422,11,12.6,60.0,2.4,281,5.0,2.23,0.0,0.0,0,0,1,0,0,1
2776,819,16,17.7,33.0,3.4,897,1.2,1.96,0.0,0.0,0,0,1,0,0,1
2777,925,17,17.1,31.0,3.3,1075,-0.1,1.33,0.0,0.0,0,0,1,0,0,1
2778,1477,18,16.0,33.0,2.9,1138,-0.2,0.6,0.0,0.0,0,0,1,0,0,1
2779,1031,19,14.3,37.0,3.1,1247,-0.2,0.1,0.0,0.0,0,0,1,0,0,1
2780,835,20,12.9,42.0,2.8,1047,0.2,0.0,0.0,0.0,0,0,1,0,0,1
2781,798,21,11.6,54.0,1.5,693,2.5,0.0,0.0,0.0,0,0,1,0,0,1
2782,662,22,10.7,58.0,1.4,600,2.7,0.0,0.0,0.0,0,0,1,0,0,1
2783,447,23,9.8,62.0,0.6,535,2.8,0.0,0.0,0.0,0,0,1,0,0,1
2784,380,0,9.0,68.0,1.1,426,3.3,0.0,0.0,0.0,0,0,1,0,0,1
2785,278,1,8.7,70.0,0.9,398,3.5,0.0,0.0,0.0,0,0,1,0,0,1
2786,163,2,8.3,70.0,0.8,394,3.1,0.0,0.0,0.0,0,0,1,0,0,1
2787,127,3,8.1,71.0,0.9,378,3.1,0.0,0.0,0.0,0,0,1,0,0,1
2788,95,4,7.8,70.0,0.3,395,2.6,0.0,0.0,0.0,0,0,1,0,0,1
2789,110,5,8.0,63.0,0.8,439,1.3,0.0,0.0,0.0,0,0,1,0,0,1
2790,231,6,8.1,66.0,0.6,415,2.1,0.0,0.0,0.0,0,0,1,0,0,1
2791,705,7,8.5,67.0,0.7,475,2.7,0.02,0.0,0.0,0,0,1,0,0,1
2792,1201,8,9.3,62.0,0.6,519,2.3,0.25,0.0,0.0,0,0,1,0,0,1
2793,699,9,11.6,51.0,0.8,498,1.7,0.84,0.0,0.0,0,0,1,0,0,1
2794,462,10,13.9,40.0,0.8,586,0.5,1.6,0.0,0.0,0,0,1,0,0,1
